transaction_id,amount,customer_age_days,num_previous_orders,transactions_last_10m,shared_device_accounts,address_mismatch,new_device,hour_of_day,is_return
TX0141,12185.28,667,6,0,1,False,True,3,False
TX0142,14739.31,86,16,1,1,False,False,16,True
TX0143,5718.21,289,12,0,1,False,False,20,False
TX0144,8457.86,395,9,0,2,False,False,4,False
TX0145,2293.14,358,9,3,1,False,False,2,False
TX0146,11916.6,832,4,1,2,False,False,16,False
TX0147,7725.63,18,11,0,2,False,False,6,True
TX0148,1342.04,864,3,0,1,False,False,21,False
TX0149,2139.53,385,4,0,2,False,False,5,True
TX0150,5591.63,736,7,3,1,False,False,7,False
